V1	PC1	PC2	Aspergillus
S1583	-0.27202752	0.27362506	0.004574565
S1520	-0.155747402	-0.035734116	0.053979872
S1531	-0.024014083	-0.046395257	0.03568161
S1533	-0.115719535	-0.17660483	0.111619396
S1534	-0.183769314	0.006179883	0.208600183
S703	-0.260515643	0.044123245	0.187557182
S704	-0.128109623	-0.242145742	0.154620311
S710	0.334168447	-0.010440353	0.000914913
S676	0.564683455	0.012867434	0.039341263
S681	-0.217736793	0.263453761	0.010064044
S690	0.591441455	0.063337202	0.046660567
