source,target,Var1,Var2,r,p,edge,disease,edgeType,abs.r
Paecilomyces,Uwebraunia,fungi_391,fungi_28,0.400790011,9.25E-07,fungi_391|fungi_28,preCOPD,ff,0.400790011
Cabalodontia,Vararia,fungi_801,fungi_815,0.418485103,2.67E-07,fungi_801|fungi_815,preCOPD,ff,0.418485103
Trechisporales,Vararia,fungi_835,fungi_815,0.418495354,2.67E-07,fungi_835|fungi_815,preCOPD,ff,0.418495354
Purpureocillium,Violaceomyces,fungi_435,fungi_944,0.573141779,1.36E-13,fungi_435|fungi_944,preCOPD,ff,0.573141779
Catabotrydaceae,Wickerhamiella,fungi_375,fungi_335,0.447166629,3.05E-08,fungi_375|fungi_335,preCOPD,ff,0.447166629
Chaetothyriales_2,Wickerhamiella,fungi_211,fungi_335,0.581508812,4.93E-14,fungi_211|fungi_335,preCOPD,ff,0.581508812
Candida,Wickerhamomyces,fungi_330,fungi_321,0.411832531,4.30E-07,fungi_330|fungi_321,preCOPD,ff,0.411832531
Geosmithia,Wrightoporia,fungi_380,fungi_825,0.497345694,4.08E-10,fungi_380|fungi_825,preCOPD,ff,0.497345694
Heterobasidion,Wrightoporia,fungi_809,fungi_825,0.623134658,2.22E-16,fungi_809|fungi_825,preCOPD,ff,0.623134658
Hormonema,Wrightoporia,fungi_76,fungi_825,0.453699408,1.81E-08,fungi_76|fungi_825,preCOPD,ff,0.453699408
Paracamarosporium,Wrightoporia,fungi_109,fungi_825,0.437210958,6.62E-08,fungi_109|fungi_825,preCOPD,ff,0.437210958
Auriporia,Xerochrysium,fungi_727,fungi_228,0.581508812,4.93E-14,fungi_727|fungi_228,preCOPD,ff,0.581508812
Catabotrydaceae,Xerochrysium,fungi_375,fungi_228,0.427582689,1.37E-07,fungi_375|fungi_228,preCOPD,ff,0.427582689
Exserohilum,Xerochrysium,fungi_154,fungi_228,0.430851237,1.07E-07,fungi_154|fungi_228,preCOPD,ff,0.430851237
Gyrodontium,Xerochrysium,fungi_660,fungi_228,0.699435042,0,fungi_660|fungi_228,preCOPD,ff,0.699435042
Neodeightonia,Xerochrysium,fungi_12,fungi_228,0.4981526,3.78E-10,fungi_12|fungi_228,preCOPD,ff,0.4981526
