Sample1	Sample2	Group	Distance	Neighbor1	Neighbor2	Street1	Street2	District1	District2
S706	S713	Same_neighbor	0.764867339059	Taishan11	Taishan11	Taishan1	Taishan1	Taishan	Taishan
S706	S718	Same_neighbor	0.781335773907	Taishan11	Taishan11	Taishan1	Taishan1	Taishan	Taishan
S706	S710	Same_neighbor	0.781335773235	Taishan11	Taishan11	Taishan1	Taishan1	Taishan	Taishan
S1281	S1421	Same_neighbor	0.690759376763	Panyu21	Panyu21	Panyu2	Panyu2	Panyu	Panyu
S1419	S1317	Same_neighbor	0.877401647632	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1419	S1310	Same_neighbor	0.567246111485	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1419	S1415	Same_neighbor	0.830741079661	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1419	S1292	Same_neighbor	0.806953339517	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1419	S1410	Same_neighbor	0.858188473504	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1419	S1315	Same_neighbor	0.878316560574	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1419	S1423	Same_neighbor	0.778591034446	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1088	S1001	Same_neighbor	0.677950593356	Wengyuan32	Wengyuan32	Wengyuan3	Wengyuan3	Wengyuan	Wengyuan
S1088	S1039	Same_neighbor	0.718206771014	Wengyuan32	Wengyuan32	Wengyuan3	Wengyuan3	Wengyuan	Wengyuan
S1088	S1106	Same_neighbor	0.623055812115	Wengyuan32	Wengyuan32	Wengyuan3	Wengyuan3	Wengyuan	Wengyuan
S1088	S1057	Same_neighbor	0.603842635613	Wengyuan32	Wengyuan32	Wengyuan3	Wengyuan3	Wengyuan	Wengyuan
S1088	S1013	Same_neighbor	0.755718206389	Wengyuan32	Wengyuan32	Wengyuan3	Wengyuan3	Wengyuan	Wengyuan
S1285	S1273	Same_neighbor	0.765782249883	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1285	S1283	Same_neighbor	0.679780420199	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1285	S1334	Same_neighbor	0.767612076651	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1285	S1264	Same_neighbor	0.661482158661	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1285	S1275	Same_neighbor	0.201280877403	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1285	S1248	Same_neighbor	0.568161025136	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1285	S1387	Same_neighbor	0.825251602651	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1285	S1340	Same_neighbor	0.835315644765	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1250	S1425	Same_neighbor	0.182067701364	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1250	S1210	Same_neighbor	0.898444648797	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1304	S1183	Same_neighbor	0.672461116181	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
