MicrobialFeature	NeissGroup	mean.Occup_Y	mean.Occup_N	FC	logFC
VF.shannon	Neis_high	2.56685753940974	2.51142371879248	1.02207257957973	0.0314976488017607
VF.shannon	Neis_low	2.4954444627048	2.53044066250097	0.986169973469635	-0.020091768012565
VF.totalRpkm	Neis_high	213.396298350379	213.819841453371	0.998019159118701	-0.00286058343281789
VF.totalRpkm	Neis_low	211.671164878734	236.416084156204	0.895333186322246	-0.159503432842083
VF1133	Neis_high	0.0490385994428571	0.0438540366538462	1.11819620774816	0.161173357330574
VF1133	Neis_low	0.0377874567171717	0.0377236926301887	1.00168984487174	0.00243587327151915
VF0741	Neis_high	0.0173329330392857	0.0270842108636364	0.640097367167168	-0.643636720329521
VF0741	Neis_low	0.035161316962963	0.0427349868754717	0.822817353188738	-0.281355874316523
VF1070	Neis_high	0.146320299125	0.175864635192308	0.832014798296509	-0.265318906377816
VF1070	Neis_low	0.163629779006734	0.178990292939623	0.914187213436182	-0.129438454507236
VF1122	Neis_high	0.023021637125	0.00217396744405594	10.5457785955943	3.39859370823006
VF1122	Neis_low	0.00791845254882155	0.00104545687924528	7.51186780315543	2.90917167409256
VF0922	Neis_high	0.0788619191571429	0.056379401541958	1.39870112113987	0.484087715815611
VF0922	Neis_low	0.0567638437710438	0.047200591845283	1.20256581313577	0.266115850907105
VF0467	Neis_high	0.00486712576071429	0.0200545261188811	0.243072063193399	-2.04054400410559
VF0467	Neis_low	0.00894490312457913	0.00139437720754717	6.37642299836196	2.67274733782855
VF0568	Neis_high	0.0258973013	0	2590.73013	11.3391430260048
VF0568	Neis_low	0.00654543569023569	0.0201280790113208	0.325524380282276	-1.61916249621184
VF0907	Neis_high	1.69259540114286	1.1373012047028	1.48825175918773	0.573618599704455
VF0907	Neis_low	1.62605406375421	1.31544367209811	1.23612415871756	0.305823657619366
VF0893	Neis_high	0	0.0224761957622378	0.000444717288141444	-11.1348238897889
VF0893	Neis_low	0.0113304352659933	0.0104413742226415	1.08506642518127	0.117783363726218
VF0213	Neis_high	0.0592430531035714	0.0129678399335664	4.56570996459255	2.19083921568742
VF0213	Neis_low	0.0429580688754209	0.00855668809056604	5.01571534076733	2.32645547251859
VF0229	Neis_high	0.0133773013857143	0.0264049970804196	0.506806847070893	-0.980492079152735
VF0229	Neis_low	0.0079648792996633	0.00703140893584906	1.13256869077178	0.179598552991618
VF0688	Neis_high	0	0.0167463810314685	0.000596787574907731	-10.7104948804938
VF0688	Neis_low	0.00730882403367003	0	731.882403367003	9.51546804906488
VF0091	Neis_high	14.402917866975	11.8181204765769	1.21871457550084	0.285360284509824
VF0091	Neis_low	13.7006776844276	14.9922876285094	0.913848432302618	-0.129973190105061
VF0090	Neis_high	0.0460220355035714	0.0432698678216783	1.06359002049712	0.0889421457842794
VF0090	Neis_low	0.0570023172693603	0.0433900240981132	1.31364713393878	0.393577797362179
