phenotype	taxon	Neis_high.Pvalue	Neis_low.Pvalue	Neis_high.Padj	Neis_low.Padj
Occupational_pollution	Abiotrophia_defectiva	0.986790184751142	0.943377449026323	1	1
Occupational_pollution	Abiotrophia_sp_HMSC24B09	0.732301227631147	0.47741008558713	1	1
Occupational_pollution	Acidithiobacillus_ferrooxidans	0.0114413977488654	0.575357148936245	1	1
Occupational_pollution	Acinetobacter_baumannii	0.673047431379715	0.146917724520213	1	1
Occupational_pollution	Acinetobacter_guillouiae	0.791583308417217	0.418807178697261	1	1
Occupational_pollution	Acinetobacter_johnsonii	0.900854277828765	0.591521140253798	1	1
Occupational_pollution	Acinetobacter_lwoffii	0.215151567677695	0.286791720999424	1	1
Occupational_pollution	Acinetobacter_oleivorans	0.129753374353846	0.204126674316054	1	1
Occupational_pollution	Acinetobacter_pittii	0.135678169070184	0.269804988019305	1	1
Occupational_pollution	Acinetobacter_proteolyticus	0.31616810659221	0.329081524902595	1	1
Occupational_pollution	Acinetobacter_schindleri	0.783040277829112	0.313856258180781	1	1
Occupational_pollution	Acinetobacter_seifertii	0.783040277829007	0.133941759780717	1	1
Occupational_pollution	Acinetobacter_sp_CIP_110321	0.294095936123838	0.0786937758600589	1	1
Occupational_pollution	Acinetobacter_towneri	0.197752821168935	0.343010369654999	1	1
Occupational_pollution	Actinobaculum_sp_oral_taxon_183	0.124380071487824	0.686632076042071	1	1
Occupational_pollution	Actinomyces_cardiffensis	0.428079452505304	0.0314364603966427	1	1
Occupational_pollution	Actinomyces_graevenitzii	0.200998243287687	0.170154004491261	1	1
Occupational_pollution	Actinomyces_hongkongensis	0.231810086970735	0.638798471785505	1	1
Occupational_pollution	Actinomyces_johnsonii	0.293056938793308	0.190101089301923	1	1
Occupational_pollution	Actinomyces_massiliensis	0.202409117743482	0.432479839444723	1	1
Occupational_pollution	Actinomyces_meyeri	0.240401469848324	0.241518674432491	1	1
Occupational_pollution	Actinomyces_naeslundii	0.563464905101752	0.589637246640299	1	1
Occupational_pollution	Actinomyces_odontolyticus	0.700994814111789	0.857645455110213	1	1
Occupational_pollution	Actinomyces_oris	0.833638235299005	0.763496728175421	1	1
Occupational_pollution	Actinomyces_sp_HMSC035G02	0.274778545584315	0.89658544906053	1	1
Occupational_pollution	Actinomyces_sp_HPA0247	0.714195928658118	0.317309998333845	1	1
Occupational_pollution	Actinomyces_sp_ICM47	0.891197182106909	0.444624738869765	1	1
Occupational_pollution	Actinomyces_sp_oral_taxon_170	0.321231036803598	0.322522647650749	1	1
Occupational_pollution	Actinomyces_sp_oral_taxon_180	0.249761377736595	0.440251587465775	1	1
Occupational_pollution	Actinomyces_sp_oral_taxon_181	0.0631232831779849	0.507325551338022	1	1
Occupational_pollution	Actinomyces_sp_oral_taxon_414	0.156283879953271	0.617163608158338	1	1
Occupational_pollution	Actinomyces_sp_oral_taxon_448	0.803862180918549	0.147389610429097	1	1
Occupational_pollution	Actinomyces_sp_oral_taxon_897	0.65226238792803	0.122617807108419	1	1
Occupational_pollution	Actinomyces_sp_S6_Spd3	0.652091816173447	0.531711894178845	1	1
Occupational_pollution	Actinomyces_turicensis	NA	0.107217622782189	NA	1
Occupational_pollution	Actinomyces_viscosus	0.186122480835218	0.600977715371794	1	1
Occupational_pollution	Aggregatibacter_aphrophilus	0.69898082979991	0.875383665825996	1	1
Occupational_pollution	Aggregatibacter_segnis	0.260791350247362	0.461998296510623	1	1
Occupational_pollution	Aggregatibacter_sp_oral_taxon_458	0.878099242329452	0.836028238307916	1	1
Occupational_pollution	Akkermansia_muciniphila	0.906342475389294	0.366574908444372	1	1
Occupational_pollution	Alistipes_putredinis	0.695473793241877	0.317874908268027	1	1
Occupational_pollution	Alloprevotella_rava	0.00342540181088701	0.220399920461589	1	1
Occupational_pollution	Alloprevotella_tannerae	0.61309410317466	0.446558321956594	1	1
Occupational_pollution	Alloscardovia_omnicolens	0.151425993741798	0.284755758157912	1	1
Occupational_pollution	Anaeroglobus_geminatus	0.164689900304117	0.781717609138209	1	1
Occupational_pollution	Anaerolineaceae_bacterium_oral_taxon_439	0.756775159184506	0.0995676356837818	1	1
Occupational_pollution	Anaerostipes_hadrus	0.465963811519424	0.786476675079013	1	1
Occupational_pollution	Anoxybacillus_flavithermus	0.00988793268193312	0.47965122166951	1	1
Occupational_pollution	Arcobacter_cryaerophilus	0.903494203372578	0.216711237263848	1	1
Occupational_pollution	Atopobium_minutum	0.783040277829064	0.820832292707076	1	1
Occupational_pollution	Atopobium_parvulum	0.258066572160373	0.727655348614113	1	1
Occupational_pollution	Atopobium_rimae	0.794005448993884	0.788621491808512	1	1
Occupational_pollution	Bacteroides_caccae	0.518472653128662	0.209221440323399	1	1
Occupational_pollution	Bacteroides_dorei	0.783040277829064	0.523679609471612	1	1
Occupational_pollution	Bacteroides_eggerthii	0.5556599782333	0.33263570902092	1	1
Occupational_pollution	Bacteroides_fragilis	0.891780280498448	0.109148814654964	1	1
Occupational_pollution	Bacteroides_graminisolvens	0.680747305001005	0.0544965323169164	1	1
Occupational_pollution	Bacteroides_heparinolyticus	0.687574531891402	0.0286053864332987	1	1
Occupational_pollution	Bacteroides_pyogenes	0.193538887063683	0.0647026140893933	1	1
Occupational_pollution	Bacteroides_stercoris	0.133058668349012	0.37881957417471	1	1
Occupational_pollution	Bacteroides_uniformis	0.830999938877514	0.582163404606981	1	1
Occupational_pollution	Bacteroides_vulgatus	0.767318927729358	0.689400176818143	1	1
Occupational_pollution	Bacteroides_zoogleoformans	0.636843469793236	0.837243800138608	1	1
