phenotype	taxon	Neis_high.Pvalue	Neis_low.Pvalue	Neis_high.Padj	Neis_low.Padj
Occupational_pollution	ko.alpha.st	0.93000163451906	0.498787630970914	1	1
Occupational_pollution	KO.pco1	0.918971952894855	0.70269016243014	1	1
Occupational_pollution	M00001	0.402474889285698	0.214031992732659	1	1
Occupational_pollution	M00002	0.819613311530033	0.588156698078714	1	1
Occupational_pollution	M00003	0.98196501562804	0.65676742369979	1	1
Occupational_pollution	M00004	0.885738295791074	0.83284793781535	1	1
Occupational_pollution	M00006	0.679013525282714	0.501031693832342	1	1
Occupational_pollution	M00007	0.210513943111913	0.799842642453566	1	1
Occupational_pollution	M00008	0.324553495272347	0.910200262036594	1	1
Occupational_pollution	M00009	0.376563425030755	0.133113401897823	1	1
Occupational_pollution	M00010	0.462951722190203	0.630491242862465	1	1
Occupational_pollution	M00011	0.537244325411761	0.104832038734263	1	1
Occupational_pollution	M00012	0.239423804581954	0.325186019253201	1	1
Occupational_pollution	M00013	0.98966974823921	0.488331638496315	1	1
Occupational_pollution	M00014	0.944512456000559	0.602355805974023	1	1
Occupational_pollution	M00015	0.603429668385733	0.0289812889611443	1	1
Occupational_pollution	M00016	0.944667257958585	0.842326433555502	1	1
Occupational_pollution	M00017	0.275794123937554	0.530679735897487	1	1
Occupational_pollution	M00018	0.464391275431212	0.719700776100002	1	1
Occupational_pollution	M00019	0.948842222859499	0.748753593641038	1	1
Occupational_pollution	M00020	0.514552299224893	0.768452543385313	1	1
Occupational_pollution	M00021	0.355507316558236	0.534529854872482	1	1
Occupational_pollution	M00022	0.915679726931172	0.0694671087057744	1	1
Occupational_pollution	M00023	0.896779882369877	0.299983888774903	1	1
Occupational_pollution	M00024	0.375488592808074	0.0169837606276937	1	1
Occupational_pollution	M00025	0.279183749770052	0.144117875414582	1	1
Occupational_pollution	M00026	0.223412613537895	0.837170025826063	1	1
Occupational_pollution	M00027	0.607156135212405	0.00940571274097112	1	1
Occupational_pollution	M00028	0.0102916569967911	0.375661625286222	1	1
Occupational_pollution	M00029	0.385180568327576	0.790173200922972	1	1
Occupational_pollution	M00030	0.0188267336423848	0.535205229110567	1	1
Occupational_pollution	M00031	0.921035075646336	0.390436824245597	1	1
Occupational_pollution	M00032	0.903929900956897	0.0559197254867747	1	1
Occupational_pollution	M00033	0.616984748297864	0.0176954965327623	1	1
Occupational_pollution	M00034	0.403287953752846	0.450294727579407	1	1
Occupational_pollution	M00035	0.819242360064783	0.515676692421644	1	1
Occupational_pollution	M00036	0.282316883299937	0.0634162837154496	1	1
Occupational_pollution	M00038	0.878755506282253	0.295009438114307	1	1
Occupational_pollution	M00040	0.060721160736665	0.506502332611037	1	1
Occupational_pollution	M00044	0.279666614764836	0.0575110955508033	1	1
Occupational_pollution	M00045	0.872820786096552	0.119544921657301	1	1
Occupational_pollution	M00046	0.99179786460615	0.887952513483937	1	1
Occupational_pollution	M00047	0.778340059812537	0.723243190204056	1	1
Occupational_pollution	M00048	0.764965844072971	0.443232813474938	1	1
Occupational_pollution	M00049	0.245568611121187	0.451732970346067	1	1
Occupational_pollution	M00050	0.735335311330231	0.1487679241877	1	1
Occupational_pollution	M00051	0.67682526152765	0.96461330349149	1	1
Occupational_pollution	M00052	0.0718260319841691	0.219734157673029	1	1
Occupational_pollution	M00053	0.36040659192037	0.923604802452381	1	1
Occupational_pollution	M00060	0.727254969356864	0.0244107077727884	1	1
Occupational_pollution	M00061	0.944821886214232	0.29671786901161	1	1
Occupational_pollution	M00063	0.953127061530552	0.0160726439215679	1	1
Occupational_pollution	M00064	0.906574217935205	0.0572440884460902	1	1
Occupational_pollution	M00072	0.745755840861601	0.980108689168018	1	1
Occupational_pollution	M00076	0.155983464990556	0.321576569600212	1	1
Occupational_pollution	M00077	0.155983464990556	0.321576569600212	1	1
Occupational_pollution	M00079	0.430075627392715	0.26853752629695	1	1
Occupational_pollution	M00080	0.89821271086278	0.00289591520614047	1	1
Occupational_pollution	M00081	0.959097934229737	0.131606362253952	1	1
Occupational_pollution	M00082	0.360183843803713	0.602845676326306	1	1
Occupational_pollution	M00083	0.930621337578597	0.569486580251445	1	1
Occupational_pollution	M00085	0.530503778398984	0.629261828603451	1	1
Occupational_pollution	M00087	0.844671839234805	0.529138676498929	1	1
Occupational_pollution	M00088	0.473185532333555	0.565718419513758	1	1
Occupational_pollution	M00089	0.587274540829148	0.0140170639033619	1	1
Occupational_pollution	M00093	0.720068473930753	0.551414067444914	1	1
Occupational_pollution	M00095	0.307177950788948	0.172786595541028	1	1
Occupational_pollution	M00096	0.96154054421583	0.1206882577021	1	1
Occupational_pollution	M00097	0.807933972301427	0.860506153006003	1	1
Occupational_pollution	M00099	0.789221966951373	0.962078863139523	1	1
Occupational_pollution	M00101	0.570124107584809	0.959830002312286	1	1
Occupational_pollution	M00104	0.97023408771564	0.443450091508658	1	1
Occupational_pollution	M00114	0.519224278394864	0.477354948953787	1	1
Occupational_pollution	M00115	0.90615428431742	0.160029598564364	1	1
Occupational_pollution	M00116	0.176138070689966	0.20966054538047	1	1
Occupational_pollution	M00117	0.400652499942549	0.267446880568132	1	1
Occupational_pollution	M00118	0.229936383198418	0.427447322924906	1	1
Occupational_pollution	M00119	0.351692658355269	0.52688929020376	1	1
Occupational_pollution	M00120	0.0531127149357726	0.47323032288584	1	1
Occupational_pollution	M00121	0.685104537523526	0.0193381379383708	1	1
Occupational_pollution	M00122	0.157817601690447	0.135716917829427	1	1
Occupational_pollution	M00123	0.38915465183824	0.158018647514591	1	1
Occupational_pollution	M00124	0.909895015744752	0.914596811772254	1	1
Occupational_pollution	M00125	0.683421076515312	0.121808083188983	1	1
Occupational_pollution	M00126	0.0181022662354857	0.342300614163179	1	1
Occupational_pollution	M00127	0.545170622129041	0.437209084253088	1	1
Occupational_pollution	M00128	0.638189811045447	0.504491426794624	1	1
Occupational_pollution	M00129	0.737096555130502	0.401889430549222	1	1
Occupational_pollution	M00133	0.743011295261651	0.418873438865078	1	1
Occupational_pollution	M00134	0.781748305790222	0.644905544212911	1	1
Occupational_pollution	M00135	0.43730082239979	0.543529944819391	1	1
Occupational_pollution	M00136	0.915962320592423	0.25728129623768	1	1
Occupational_pollution	M00140	0.600201696101025	0.513288273534169	1	1
Occupational_pollution	M00141	0.479204944168331	0.617447641242607	1	1
Occupational_pollution	M00142	0.798052503401846	0.815975983410356	1	1
Occupational_pollution	M00143	0.516692264399147	0.698927939887243	1	1
Occupational_pollution	M00144	0.773629580695718	0.0442360770130252	1	1
Occupational_pollution	M00145	0.778866867294121	0.676822228323607	1	1
Occupational_pollution	M00146	0.768817654495147	0.843703192479419	1	1
Occupational_pollution	M00147	0.367497821290774	0.883381897646481	1	1
Occupational_pollution	M00148	0.395255178114583	0.792929198125738	1	1
Occupational_pollution	M00149	0.837252903236136	0.125243256154298	1	1
Occupational_pollution	M00150	0.950461103514466	0.150033590575571	1	1
Occupational_pollution	M00151	0.500629921744596	0.0217941972012747	1	1
Occupational_pollution	M00152	0.322670745494981	0.196231919602221	1	1
Occupational_pollution	M00153	0.712486153001216	0.430121449962008	1	1
Occupational_pollution	M00154	0.455772754074826	0.190554932068053	1	1
Occupational_pollution	M00155	0.49914901353584	0.435479207922044	1	1
Occupational_pollution	M00156	0.743497635119098	0.416576121976953	1	1
Occupational_pollution	M00157	0.168222988202583	0.3046766757488	1	1
Occupational_pollution	M00158	0.509463956543955	0.958266200729862	1	1
Occupational_pollution	M00159	0.43855920067725	0.127162881945164	1	1
Occupational_pollution	M00160	0.373915267929079	0.613685524777128	1	1
Occupational_pollution	M00161	0.775470033683143	0.898544168520388	1	1
Occupational_pollution	M00162	0.531675709275071	0.865162023192415	1	1
Occupational_pollution	M00163	0.746115956970545	0.706238425035899	1	1
Occupational_pollution	M00165	0.692363266820911	0.722287201622182	1	1
Occupational_pollution	M00166	0.67313854201997	0.40583010395608	1	1
Occupational_pollution	M00167	0.506885302572565	0.936083266387338	1	1
Occupational_pollution	M00168	0.207977580562808	0.0503204112488554	1	1
Occupational_pollution	M00169	0.915272948246427	0.0670997515883809	1	1
Occupational_pollution	M00170	0.367535181181164	0.529839383010252	1	1
Occupational_pollution	M00171	0.582711645065248	0.229969868665159	1	1
